#[pout] [algorithm] [ari] [nmi] [fmeasure] [runtime]
0.16 louvain 0.901914 0.954688 2.16144018583 0.0094165802002
0.18 attractor 1.0 1.0 2.0 1851.09258628
0.14 mcl 0.236135 0.19389 4.70502582304 6.29894113541
0.18 infomap 0.187891 0.0 8.40740740741 37.5569238663
0.16 attractor 0.999217 0.998861 2.001001001 1439.81778049
0.14 attractor 1.0 1.0 2.0 1101.26058173
0.1 mcl 0.689491 0.684724 2.85528756957 5.04111480713
0.18 louvain 0.796164 0.908977 2.30819054348 0.0114097595215
0.12 attractor 1.0 1.0 2.0 869.645330429
0.2 mcl 0.188082 0.0 8.09219858156 6.928804636
0.1 attractor 1.0 1.0 2.0 611.923083544
0.14 infomap 0.186936 1.93866e-16 8.7519379845 30.9743080139
0.12 mcl 0.85872 0.745865 2.5037593985 5.32663273811
0.1 louvain 0.907158 0.966843 2.11111111111 0.0108308792114
0.2 louvain 0.917322 0.94266 2.1239089374 0.0107271671295
0.14 louvain 0.906337 0.9676 2.09289617486 0.00915837287903
0.16 infomap 0.185919 1.87599e-16 9.13008130081 35.1873795986
0.2 infomap 0.188082 0.0 8.09219858156 39.1469550133
0.2 attractor 0.999481 0.998047 2.00200400802 2341.3280921
0.1 infomap 0.18746 0.0 8.04225352113 28.7873313427
0.12 louvain 0.983301 0.986065 2.04275286757 0.00812268257141
0.18 mcl 0.187891 0.0 8.40740740741 6.89093947411
0.16 mcl 0.185919 1.87599e-16 9.13008130081 6.50739622116
0.12 infomap 0.188672 0.0 7.45161290323 29.2503671646
