#[pout] [algorithm] [ari] [nmi] [fmeasure] [runtime]
0.16 louvain 0.901914 0.954688 7.45161290323 0.0094165802002
0.18 attractor_new_rmtailor_0.4 1.0 1.0 7.45161290323 2065.24848127
0.12 attractor_new_rmtailor_5_0.4 1.0 1.0 7.45161290323 617.51069212
0.18 attractor_new_rmtailor_0.5 1.0 1.0 7.45161290323 1851.09258628
0.14 mcl 0.186936 1.93866e-16 7.45161290323 8.07229471207
0.18 infomap 0.187891 0.0 7.45161290323 0.605193138123
0.16 attractor_new_rmtailor_0.5 0.999217 0.998861 7.45161290323 1439.81778049
0.14 attractor_new_rmtailor_0.5 1.0 1.0 7.45161290323 1101.26058173
0.18 attractor_new_rmtailor_0.7 0.984218 0.977627 7.45161290323 1778.86011052
0.1 mcl 0.18746 0.0 7.45161290323 6.92473125458
0.2 attractor_new_rmtailor_0.7 0.98221 0.976106 7.45161290323 2207.61028552
0.18 attractor_new_rmtailor_0.6 1.0 1.0 7.45161290323 1715.66201639
0.18 louvain 0.796164 0.908977 7.45161290323 0.0114097595215
0.16 attractor_new_rmtailor_0.6 0.999217 0.998861 7.45161290323 1337.32186842
0.12 attractor_new_rmtailor_0.5 1.0 1.0 7.45161290323 869.645330429
0.2 mcl 0.188082 0.0 7.45161290323 8.63341641426
0.1 attractor_new_rmtailor_0.5 1.0 1.0 7.45161290323 611.923083544
0.14 infomap 0.186936 1.93866e-16 7.45161290323 0.455811977386
0.12 mcl 0.188672 0.0 7.45161290323 7.09608864784
0.1 louvain 0.907158 0.966843 7.45161290323 0.0108308792114
0.2 louvain 0.917322 0.94266 7.45161290323 0.0107271671295
0.14 louvain 0.906337 0.9676 7.45161290323 0.00915837287903
0.12 attractor_new_rmtailor_0.7 1.0 1.0 7.45161290323 956.531520605
0.12 attractor_new_rmtailor_0.6 1.0 1.0 7.45161290323 905.388883114
0.16 attractor_new_rmtailor_0.4 1.0 1.0 7.45161290323 1581.08993602
0.16 infomap 0.185919 1.87599e-16 7.45161290323 0.542764663696
0.2 infomap 0.188082 0.0 7.45161290323 0.547107458115
0.16 attractor_new_rmtailor_0.7 0.989052 0.98439 7.45161290323 1415.93230939
0.1 attractor_new_rmtailor_0.6 1.0 1.0 7.45161290323 677.425545692
0.2 attractor_new_rmtailor_0.5 0.999481 0.998047 7.45161290323 2341.3280921
0.12 attractor_new_rmtailor_5_0.5 1.0 1.0 7.45161290323 577.313777447
0.12 attractor_new_rmtailor_0.4 1.0 1.0 7.45161290323 871.867132425
0.14 attractor_new_rmtailor_5_0.6 0.999132 0.99879 7.45161290323 709.940724134
0.14 attractor_new_rmtailor_0.4 1.0 1.0 7.45161290323 1168.22439861
0.1 attractor_new_rmtailor_0.4 1.0 1.0 7.45161290323 599.901774645
0.14 attractor_new_rmtailor_5_0.7 0.991422 0.988393 7.45161290323 693.57948041
0.1 infomap 0.18746 0.0 7.45161290323 0.359541416168
0.12 louvain 0.983301 0.986065 7.45161290323 0.00812268257141
0.2 attractor_new_rmtailor_0.6 0.998846 0.997774 7.45161290323 2156.33564758
0.12 attractor_new_rmtailor_5_0.6 1.0 1.0 7.45161290323 549.196925879
0.18 mcl 0.187891 0.0 7.45161290323 8.49880409241
0.14 attractor_new_rmtailor_5_0.4 1.0 1.0 7.45161290323 801.365083694
0.2 attractor_new_rmtailor_0.4 0.776873 0.898343 7.45161290323 2689.28642154
0.14 attractor_new_rmtailor_0.7 0.9933 0.990793 7.45161290323 1113.7608819
0.16 mcl 0.185919 1.87599e-16 7.45161290323 8.15869164467
0.14 attractor_new_rmtailor_5_0.5 1.0 1.0 7.45161290323 748.721440077
0.12 attractor_new_rmtailor_5_0.7 0.99833 0.997522 7.45161290323 541.037092447
0.14 attractor_new_rmtailor_0.6 0.999132 0.99879 7.45161290323 1074.55853534
0.1 attractor_new_rmtailor_0.7 0.998319 0.997577 7.45161290323 746.100381851
0.16 attractor_new_rmtailor_5_0.4 0.996696 0.993661 7.45161290323 1082.03490543
0.12 infomap 0.188672 0.0 7.45161290323 0.428505182266
